date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:03	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Apr%202024%2013:04:03%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-ZA&shop_id=32857522307	C:/Users/muham/Downloads/Security_Task4/shop.app/checkouts/internal/preloads.9f8e4.delayed	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:04	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2008%20Apr%202024%2009:41:52%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:04:04%20GMT	http://coastalpets.co.za/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.b.delayed	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:05	12547/12547	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2013:37:00%20GMT	https://coastalpets.co.za/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:04:05%20GMT	http://coastalpets.co.za/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.d.delayed	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:05	37678/37678	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Feb%202024%2022:13:48%20GMT	https://coastalpets.co.za/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:04:06%20GMT	http://coastalpets.co.za/cdn/shop/t/13/assets/custom.js?v=102476495355921946141705502776	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/t/13/assets/customc972.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:06	90/90	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Feb%202024%2009:14:40%20GMT	https://coastalpets.co.za/cdn/shop/t/13/assets/custom.js?v=102476495355921946141705502776	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/t/13/assets/customc972.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:06	107067/107067	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2027%20Mar%202024%2003:54:02%20GMT	https://cdn.shopify.com/extensions/bf304e01-a9a8-4b43-9780-acb5b63ed5bb/buddha-mega-menu-navigation-66/assets/buddha-megamenu.js	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/bf304e01-a9a8-4b43-9780-acb5b63ed5bb/buddha-mega-menu-navigation-66/assets/buddha-megamenu.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:06	68891/68891	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Mar%202024%2003:54:02%20GMT	https://cdn.shopify.com/extensions/bf304e01-a9a8-4b43-9780-acb5b63ed5bb/buddha-mega-menu-navigation-66/assets/buddha-megamenu2.css	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/bf304e01-a9a8-4b43-9780-acb5b63ed5bb/buddha-mega-menu-navigation-66/assets/buddha-megamenu2.css	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:07	83678/83678	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Mar%202024%2003:54:02%20GMT	https://cdn.shopify.com/extensions/bf304e01-a9a8-4b43-9780-acb5b63ed5bb/buddha-mega-menu-navigation-66/assets/fontawesome.css	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/bf304e01-a9a8-4b43-9780-acb5b63ed5bb/buddha-mega-menu-navigation-66/assets/fontawesome.css	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:07	13201/13201	---MCZ	200	added ('OK')	text/css	date:Wed,%2027%20Mar%202024%2015:12:03%20GMT	https://cdn.shopify.com/extensions/fdb7cb43-c237-4b59-9bf5-0c900d22f52f/wishlist-engine-50/assets/wishlist-engine.css	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/fdb7cb43-c237-4b59-9bf5-0c900d22f52f/wishlist-engine-50/assets/wishlist-engine.css	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:07	251795/251795	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2027%20Mar%202024%2015:12:03%20GMT	https://cdn.shopify.com/extensions/fdb7cb43-c237-4b59-9bf5-0c900d22f52f/wishlist-engine-50/assets/wishlist-engine-app.js	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/fdb7cb43-c237-4b59-9bf5-0c900d22f52f/wishlist-engine-50/assets/wishlist-engine-app.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:09	296304/296304	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Jan%202024%2020:22:29%20GMT	https://cdn.shopify.com/extensions/7ee0413a-f1ec-4d2b-95fb-a1e6a6721c36/1.0.0/assets/whatsapp.js	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/7ee0413a-f1ec-4d2b-95fb-a1e6a6721c36/1.0.0/assets/whatsapp.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:09	32280/32280	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2014:13:40%20GMT	https://cdn.shopify.com/extensions/7ee0413a-f1ec-4d2b-95fb-a1e6a6721c36/1.0.0/assets/whatsapp.css	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/7ee0413a-f1ec-4d2b-95fb-a1e6a6721c36/1.0.0/assets/whatsapp.css	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:09	599/599	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2028%20Mar%202024%2017:59:01%20GMT	https://cdn.shopify.com/extensions/8306ada6-1a8e-420f-8db1-adfdc3849332/smile-io-56/assets/smile-loader.js	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/8306ada6-1a8e-420f-8db1-adfdc3849332/smile-io-56/assets/smile-loader.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:11	348600/348600	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:190827594914b6ef39db35e664004a54%22	https://coastalpets.co.za/account/POST	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/account/POST	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:04:13%20GMT	http://coastalpets.co.za/cdn/s/trekkie.storefront.2eced10260225d6798d99c4a95501a3f587f6b15.min.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/s/trekkie.storefront.2eced10260225d6798d99c4a95501a3f587f6b15.min.1a.delayed	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:04:14%20GMT	http://coastalpets.co.za/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:14	115407/115407	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2003%20Apr%202024%2021:23:12%20GMT	https://coastalpets.co.za/cdn/s/trekkie.storefront.2eced10260225d6798d99c4a95501a3f587f6b15.min.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/s/trekkie.storefront.2eced10260225d6798d99c4a95501a3f587f6b15.min.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:15	8298/8298	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Feb%202024%2018:46:28%20GMT	https://coastalpets.co.za/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:15	59535/59535	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2010%20Feb%202024%2009:53:01%20GMT	https://coastalpets.co.za/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Apr%202024%2013:04:15%20GMT	http://coastalpets.co.za/cdn/shop/files/Coastal_Aquariums_and_Pet_Supplies_Online_-_Logo_-_HR_-_Transparent_8d0a3eb4-3edc-4939-95f5-6c7df925a72e_290x@2x.png?v=1630602779	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/files/Coastal_Aquariums_and_Pet_Supplies_Online_-_Logo_-_HR_-_Transparent_8d0a3eb4-3edc-4939-95f5-6c7df925a72e_290x@2xadb9.png	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:16	63449/63449	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Mar%202024%2007:34:27%20GMT	https://coastalpets.co.za/cdn/shop/files/Coastal_Aquariums_and_Pet_Supplies_Online_-_Logo_-_HR_-_Transparent_8d0a3eb4-3edc-4939-95f5-6c7df925a72e_290x@2x.png?v=1630602779	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/cdn/shop/files/Coastal_Aquariums_and_Pet_Supplies_Online_-_Logo_-_HR_-_Transparent_8d0a3eb4-3edc-4939-95f5-6c7df925a72e_290x@2xadb9.png	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:17	4472/4472	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202024%2016:37:02%20GMT	https://cdn.shopify.com/extensions/3a4dc440-03d6-44ed-9e44-e917b8f8f117/plex-delivery-estimation-date-25/assets/estimation.css	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/3a4dc440-03d6-44ed-9e44-e917b8f8f117/plex-delivery-estimation-date-25/assets/estimation.css	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:19	349850/349850	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:067fc7aaf9701e12f1d75ccf32fee4b7%22	https://coastalpets.co.za/account/register	C:/Users/muham/Downloads/Security_Task4/coastalpets.co.za/account/register.html	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
15:04:28	118213/118213	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2013%20Mar%202024%2016:37:02%20GMT	https://cdn.shopify.com/extensions/3a4dc440-03d6-44ed-9e44-e917b8f8f117/plex-delivery-estimation-date-25/assets/estimation.js	C:/Users/muham/Downloads/Security_Task4/cdn.shopify.com/extensions/3a4dc440-03d6-44ed-9e44-e917b8f8f117/plex-delivery-estimation-date-25/assets/estimation.js	(from https://coastalpets.co.za/account/login?return_url=%2Faccount)
